"id","name","player_state","tot_num_points","player_pre_rating","opponent_avg_pre_rating"
"1","1","GARY HUA","ON",6,1794,1605.28571428571
"2","10","ANVIT RAO","MI",5,1365,1554.14285714286
"3","11","CAMERON WILLIAM MC LEMAN","MI",4.5,1712,1467.57142857143
"4","12","KENNETH J TACK","MI",4.5,1663,1506.16666666667
"5","13","TORRANCE HENRY JR","MI",4.5,1666,1497.85714285714
"6","14","BRADLEY SHAW","MI",4.5,1610,1515
"7","15","ZACHARY JAMES HOUGHTON","MI",4.5,1220,1483.85714285714
"8","16","MIKE NIKITIN","MI",4,1604,1385.8
"9","17","RONALD GRZEGORCZYK","MI",4,1629,1498.57142857143
"10","18","DAVID SUNDEEN","MI",4,1600,1480
"11","19","DIPANKAR ROY","MI",4,1564,1426.28571428571
"12","2","DAKSHESH DARURI","MI",6,1553,1469.28571428571
"13","20","JASON ZHENG","MI",4,1595,1410.85714285714
"14","21","DINH DANG BUI","ON",4,1563,1470.42857142857
"15","22","EUGENE L MCCLURE","MI",4,1555,1300.33333333333
"16","23","ALAN BUI","ON",4,1363,1213.85714285714
"17","24","MICHAEL R ALDRICH","MI",4,1229,1357
"18","25","LOREN SCHWIEBERT","MI",3.5,1745,1363.28571428571
"19","26","MAX ZHU","ON",3.5,1579,1506.85714285714
"20","27","GAURAV GIDWANI","MI",3.5,1552,1221.66666666667
"21","28","SOFIA ADINA STANESCU-BELLU","MI",3.5,1507,1522.14285714286
"22","29","CHIEDOZIE OKORIE","MI",3.5,1602,1313.5
"23","3","ADITYA BAJAJ","MI",6,1384,1563.57142857143
"24","30","GEORGE AVERY JONES","ON",3.5,1522,1144.14285714286
"25","31","RISHI SHETTY","MI",3.5,1494,1259.85714285714
"26","32","JOSHUA PHILIP MATHEWS","ON",3.5,1441,1378.71428571429
"27","33","JADE GE","MI",3.5,1449,1276.85714285714
"28","34","MICHAEL JEFFERY THOMAS","MI",3.5,1399,1375.28571428571
"29","35","JOSHUA DAVID LEE","MI",3.5,1438,1149.71428571429
"30","36","SIDDHARTH JHA","MI",3.5,1355,1388.16666666667
"31","37","AMIYATOSH PWNANANDAM","MI",3.5,980,1384.8
"32","38","BRIAN LIU","MI",3,1423,1539.16666666667
"33","39","JOEL R HENDON","MI",3,1436,1429.57142857143
"34","4","PATRICK H SCHILLING","MI",5.5,1716,1573.57142857143
"35","40","FOREST ZHANG","MI",3,1348,1390.57142857143
"36","41","KYLE WILLIAM MURPHY","MI",3,1403,1248.5
"37","42","JARED GE","MI",3,1332,1149.85714285714
"38","43","ROBERT GLEN VASEY","MI",3,1283,1106.57142857143
"39","44","JUSTIN D SCHILLING","MI",3,1199,1327
"40","45","DEREK YAN","MI",3,1242,1152
"41","46","JACOB ALEXANDER LAVALLEY","MI",3,377,1357.71428571429
"42","47","ERIC WRIGHT","MI",2.5,1362,1392
"43","48","DANIEL KHAIN","MI",2.5,1382,1355.8
"44","49","MICHAEL J MARTIN","MI",2.5,1291,1285.8
"45","5","HANSHI ZUO","MI",5.5,1655,1500.85714285714
"46","50","SHIVAM JHA","MI",2.5,1056,1296
"47","51","TEJAS AYYAGARI","MI",2.5,1011,1356.14285714286
"48","52","ETHAN GUO","MI",2.5,935,1494.57142857143
"49","53","JOSE C YBARRA","MI",2,1393,1345.33333333333
"50","54","LARRY HODGE","MI",2,1270,1206.16666666667
"51","55","ALEX KONG","MI",2,1186,1406
"52","56","MARISA RICCI","MI",2,1153,1414.4
"53","57","MICHAEL LU","MI",2,1092,1363
"54","58","VIRAJ MOHILE","MI",2,917,1391
"55","59","SEAN M MC CORMICK","MI",2,853,1319
"56","6","HANSEN SONG","OH",5,1686,1518.71428571429
"57","60","JULIA SHEN","MI",1.5,967,1330.2
"58","61","JEZZEL FARKAS","ON",1.5,955,1327.28571428571
"59","62","ASHWIN BALAJI","MI",1,1530,1186
"60","63","THOMAS JOSEPH HOSMER","MI",1,1175,1350.2
"61","64","BEN LI","MI",1,1163,1263
"62","7","GARY DEE SWATHELL","MI",5,1649,1372.14285714286
"63","8","EZEKIEL HOUGHTON","MI",5,1641,1468.42857142857
"64","9","STEFANO LEE","ON",5,1411,1523.14285714286
